pm25,co,dew,humidity,no2,o3,pm10,pressure,so2,temperature,wind-gust,wind-speed,year_month,Date
30,7.6,4.5,76,12,14.9,11,1033,0.9,9,6.2,2.5,Jan-19,01/01/2019
33,10,1,75,16.5,14.2,14,1041.4,0.6,5.5,5.1,2.2,Jan-19,02/01/2019
42,10.6,1,74.4,21.3,10.7,15,1041.6,0.7,5,2.9,1.2,Jan-19,03/01/2019
72,11.8,1,76,25.2,4.3,28,1041,1.3,3.3,3.1,1.5,Jan-19,04/01/2019
63,10.4,1,76.6,20.6,8.4,22,1037.6,1.1,5,5.6,2.8,Jan-19,05/01/2019
59,10,4,78,22.9,4.8,22,1035.4,1.7,8.8,3.8,1.6,Jan-19,06/01/2019
44,9.4,7,80.2,19.2,7.7,17,1029,2.3,10,7.4,2.6,Jan-19,07/01/2019
38,8.7,2,69.7,18,12.5,17,1026.1,1.1,8,10.6,4.5,Jan-19,08/01/2019
34,10,1,75,18.3,12,14,1029.2,1.4,4.4,8.5,3.3,Jan-19,09/01/2019
76,11.6,3,87,29.6,1.8,29,1029.5,3.2,5,3,1.7,Jan-19,10/01/2019
59,8.2,5,80,25.5,4,19,1029.2,2.1,7.7,5,2.2,Jan-19,11/01/2019
29,8.2,5.5,76,17,10.2,10,1022.1,2.6,9.8,7.8,2.7,Jan-19,12/01/2019
22,7,7,67.6,9.9,16.3,8,1013.7,2.1,11.1,11.7,6.4,Jan-19,13/01/2019
35,7.5,3,69.5,21.5,10.9,14,1021,1.7,8.5,8,3.3,Jan-19,14/01/2019
31,10.2,5,76,20.5,7.8,12,1019,2.9,8.8,6.1,2.8,Jan-19,15/01/2019
26,8.2,6,84,16.1,11.1,9,1003.8,3.4,9,7.8,3.7,Jan-19,16/01/2019
34,9.1,3,69.6,20.7,9.2,12,1012.9,1.6,4.5,9.2,4.4,Jan-19,17/01/2019
51,12.7,,81,27.8,4.3,20,1017.1,3.3,2.9,5.2,3,Jan-19,18/01/2019
52,10.6,2,80.4,17.7,8.8,19,1010,2.3,4.1,7.2,3.8,Jan-19,19/01/2019
76,11.8,,78,24.2,2.5,27,1018.1,1.7,2.2,2.8,1.2,Jan-19,20/01/2019
93,13.7,1,81,28,2.3,37,1023.2,4,4.1,4,1.7,Jan-19,21/01/2019
34,10.9,1,84.5,27.1,8,12,1003,3.3,5,4.7,2.1,Jan-19,22/01/2019
53,10,,86,23.1,10.1,15,1005,2.1,2,3.6,3,Jan-19,23/01/2019
80,15.2,2,88.2,34.5,1.6,29,1011,5.5,3.6,1.9,1.2,Jan-19,24/01/2019
57,10,6,88,26.3,2.1,20,1013.5,5,8.3,4.5,1.5,Jan-19,25/01/2019
22,8.3,6,87,12.6,12.4,10,1003.7,4.1,8.3,8.5,2.9,Jan-19,26/01/2019
25,8.2,2,74.3,8.5,18.3,11,992.7,2.6,6.1,14.9,7.1,Jan-19,27/01/2019
