Date,Country,City,Specie,count,min,max,median,variance,year_month
01/01/2019,GB,London,o3,360,2.7,26.9,14.9,256.46,Jan-19
01/01/2019,GB,London,so2,127,0.1,1.9,0.9,1.66,Jan-19
01/01/2019,GB,London,wind-speed,632,0.3,6.7,2.5,19.5,Jan-19
01/01/2019,GB,London,pm10,555,2,45,11,261.57,Jan-19
01/01/2019,GB,London,humidity,671,59,91.4,76,536.14,Jan-19
01/01/2019,GB,London,temperature,671,4.3,12.7,9,48.14,Jan-19
01/01/2019,GB,London,pm25,588,4,154,30,2666.6,Jan-19
01/01/2019,GB,London,no2,587,2.1,33.4,12,404.78,Jan-19
01/01/2019,GB,London,pressure,671,859.6,1044.5,1033,6042.98,Jan-19
01/01/2019,GB,London,wind-gust,621,0.6,12.5,6.2,66.19,Jan-19
01/01/2019,GB,London,dew,174,0.5,7,4.5,43.68,Jan-19
01/01/2019,GB,London,co,137,3.7,9.5,7.6,30.74,Jan-19
02/01/2019,GB,London,o3,358,0.4,26.4,14.2,333.93,Jan-19
02/01/2019,GB,London,so2,148,0.2,3.8,0.6,3.66,Jan-19
02/01/2019,GB,London,wind-speed,628,0.1,4.4,2.2,7.61,Jan-19
02/01/2019,GB,London,pm10,570,1,33,14,216.09,Jan-19
02/01/2019,GB,London,humidity,672,58.7,89,75,489.76,Jan-19
02/01/2019,GB,London,temperature,672,3.1,12.7,5.5,95.1,Jan-19
02/01/2019,GB,London,pm25,597,3,175,33,2196.61,Jan-19
02/01/2019,GB,London,no2,593,0.8,40.2,16.5,783.45,Jan-19
02/01/2019,GB,London,pressure,672,868.6,1047.6,1041.4,5806.42,Jan-19
02/01/2019,GB,London,wind-gust,624,0.2,8.4,5.1,19.25,Jan-19
02/01/2019,GB,London,dew,99,0.5,2,1,2.92,Jan-19
02/01/2019,GB,London,co,107,3.7,10.6,10,60.32,Jan-19
03/01/2019,GB,London,o3,354,0.5,25.7,10.7,293.99,Jan-19
03/01/2019,GB,London,so2,155,0.1,3.8,0.7,4.32,Jan-19
03/01/2019,GB,London,wind-speed,566,0.1,3.2,1.2,4.05,Jan-19
03/01/2019,GB,London,pm10,546,3,54,15,538.01,Jan-19
03/01/2019,GB,London,humidity,672,52.1,86.5,74.4,727.63,Jan-19
03/01/2019,GB,London,temperature,672,0,12.7,5,112.4,Jan-19
03/01/2019,GB,London,pm25,612,3,89,42,2627.48,Jan-19
03/01/2019,GB,London,no2,588,3,50.2,21.3,807.58,Jan-19
03/01/2019,GB,London,pressure,672,868,1047.2,1041.6,7775.77,Jan-19
03/01/2019,GB,London,wind-gust,620,0.4,6.1,2.9,9.87,Jan-19
03/01/2019,GB,London,dew,72,0.5,1.5,1,1.11,Jan-19
03/01/2019,GB,London,co,109,3.7,11.8,10.6,78.02,Jan-19
04/01/2019,GB,London,o3,342,0.1,18.3,4.3,176.8,Jan-19
04/01/2019,GB,London,so2,168,0.2,31.9,1.3,63.76,Jan-19
04/01/2019,GB,London,wind-speed,584,0.1,4.3,1.5,8.92,Jan-19
04/01/2019,GB,London,pm10,548,11,60,28,810.29,Jan-19
04/01/2019,GB,London,humidity,660,49.1,90,76,755.3,Jan-19
04/01/2019,GB,London,temperature,660,0.5,12.7,3.3,162.46,Jan-19
04/01/2019,GB,London,pm25,618,30,124,72,3332.07,Jan-19
04/01/2019,GB,London,no2,592,0.1,64.1,25.2,822.29,Jan-19
04/01/2019,GB,London,pressure,660,866.3,1046.3,1041,6169.54,Jan-19
04/01/2019,GB,London,wind-gust,632,0.1,9.4,3.1,43.5,Jan-19
04/01/2019,GB,London,dew,9,1,1,1,0,Jan-19
04/01/2019,GB,London,co,142,3.7,13.7,11.8,79.62,Jan-19
05/01/2019,GB,London,o3,350,0.1,21.3,8.4,234.78,Jan-19
05/01/2019,GB,London,so2,168,0.2,3.4,1.1,5.61,Jan-19
05/01/2019,GB,London,wind-speed,610,0.1,6,2.8,12.3,Jan-19
05/01/2019,GB,London,pm10,575,9,52,22,292.94,Jan-19
05/01/2019,GB,London,humidity,648,61.1,89,76.6,487.96,Jan-19
05/01/2019,GB,London,temperature,648,3.2,12.7,5,102.75,Jan-19
