date, pm25, pm10, o3, no2, so2, co
2021/7/1, 59, 25, 34, 29, 2, 10
2021/7/2, 72, 17, 25, 22, 1, 10
2021/7/3, 50, 12, 22, 17, 2, 10
2021/7/4, 37, 16, 26, 7, 3, 4
2021/7/5, 37, 14, 21, 6, 3, 1
2021/7/6, 33, 16, 23, 12, 2, 1
2021/7/7, 29, 17, 23, 28, 1, 6
2021/7/8, 48, 20, 27, 28, 1, 7
2021/7/9, 56, 17, 17, 23, , 6
2021/7/10, 52, 17, 28, 18, , 6
2021/7/11, 51, 14, 21, 25, , 4
2021/7/12, 45, 20, 29, 23, , 3
2021/7/13, 53, , , , , 
2021/6/1, 72, 32, 53, 32, 4, 
2021/6/2, 74, 30, 36, 23, 1, 1
2021/6/3, 76, 21, 18, 29, , 1
2021/6/4, 59, 21, 40, 22, , 1
2021/6/5, 62, 17, 25, 17, , 1
2021/6/6, 53, 19, 27, 18, , 
2021/6/7, 50, 19, 37, 23, , 
2021/6/8, 46, 21, 35, 22, 1, 
2021/6/9, 42, 19, 18, 15, 1, 
2021/6/10, 39, 15, 21, 14, , 
2021/6/11, 42, 13, 33, 10, , 
2021/6/12, 36, 19, 40, 17, , 
2021/6/13, 42, 14, 28, 16, , 
2021/6/14, 46, 17, 20, 15, 1, 
2021/6/15, 40, 24, 38, 26, 1, 
2021/6/16, 52, 21, 21, 18, , 1
2021/6/17, 57, 16, 21, 20, , 1
2021/6/18, 51, 15, 21, 16, , 1
2021/6/19, 51, 14, 20, 12, , 1
2021/6/20, 43, 13, 25, 14, 1, 1
2021/6/21, 34, 15, 27, 14, , 1
2021/6/22, 36, 15, 35, 22, , 1
2021/6/23, 49, 24, 22, 22, 1, 1
2021/6/24, 39, 16, 27, 20, 1, 1
2021/6/25, 43, 18, 29, 18, , 1
2021/6/26, 42, 21, 30, 15, , 1
2021/6/27, 54, 18, 21, 18, , 1
2021/6/28, 50, 22, 12, 25, , 1
2021/6/29, 50, 15, 22, 23, , 1
2021/6/30, 36, 21, 30, 25, 4, 6
2021/5/1, 69, 23, 36, 19, 1, 4
2021/5/2, 73, 19, 40, 14, 1, 2
2021/5/3, 25, 15, 32, 17, 2, 2
2021/5/4, 27, 14, 27, 22, 2, 5
2021/5/5, 20, 15, 29, 24, 7, 6
2021/5/6, 24, 19, 32, 24, 7, 5
2021/5/7, 24, 16, 25, 13, , 1
2021/5/8, 29, 14, 18, 14, , 
2021/5/9, 25, 15, 30, 20, 1, 1
2021/5/10, 42, 18, 37, 25, 2, 1
2021/5/11, 45, 19, 35, 25, 1, 2
2021/5/12, 61, 18, 24, 29, 1, 
2021/5/13, 56, 15, 30, 23, 1, 1
2021/5/14, 63, 18, 30, 25, 1, 1
2021/5/15, 41, 15, 28, 18, 1, 1
2021/5/16, 25, 15, 25, 25, 1, 3
2021/5/17, 40, 20, 25, 26, 2, 1
2021/5/18, 43, 17, 30, 22, 1, 4
2021/5/19, 37, 23, 30, 23, 1, 1
2021/5/20, 43, 22, 30, 20, 2, 1
2021/5/21, 48, 13, 27, 20, 3, 3
2021/5/22, 39, 14, 34, 18, 3, 1
2021/5/23, 34, 15, 27, 25, 2, 2
2021/5/24, 34, 17, 23, 23, 2, 2
2021/5/25, 41, 16, 30, 23, 3, 3
2021/5/26, 40, 17, 36, 28, 3, 2
2021/5/27, 47, 25, 30, 34, 4, 1
2021/5/28, 60, 25, 38, 20, 4, 1
2021/5/29, 69, 23, 35, 13, 3, 
2021/5/30, 65, 26, 42, 16, 3, 
2021/5/31, 70, 28, 54, 24, 3, 1
2021/4/1, 89, 18, 33, 16, , 7
