Sum of median,Specie,,,,,,,,,,,,
Date,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind-gust,wind-speed,Grand Total
31/12/2018,8.2,6,81.2,14.2,12.6,9,29,1034.2,0.9,9.5,5.1,2,1211.9
01/01/2019,7.6,4.5,76,12,14.9,11,30,1033,0.9,9,6.2,2.5,1207.6
02/01/2019,10,1,75,16.5,14.2,14,33,1041.4,0.6,5.5,5.1,2.2,1218.5
03/01/2019,10.6,1,74.4,21.3,10.7,15,42,1041.6,0.7,5,2.9,1.2,1226.4
04/01/2019,11.8,1,76,25.2,4.3,28,72,1041,1.3,3.3,3.1,1.5,1268.5
05/01/2019,10.4,1,76.6,20.6,8.4,22,63,1037.6,1.1,5,5.6,2.8,1254.1
06/01/2019,10,4,78,22.9,4.8,22,59,1035.4,1.7,8.8,3.8,1.6,1252
07/01/2019,9.4,7,80.2,19.2,7.7,17,44,1029,2.3,10,7.4,2.6,1235.8
08/01/2019,8.7,2,69.7,18,12.5,17,38,1026.1,1.1,8,10.6,4.5,1216.2
09/01/2019,10,1,75,18.3,12,14,34,1029.2,1.4,4.4,8.5,3.3,1211.1
10/01/2019,11.6,3,87,29.6,1.8,29,76,1029.5,3.2,5,3,1.7,1280.4
11/01/2019,8.2,5,80,25.5,4,19,59,1029.2,2.1,7.7,5,2.2,1246.9
12/01/2019,8.2,5.5,76,17,10.2,10,29,1022.1,2.6,9.8,7.8,2.7,1200.9
13/01/2019,7,7,67.6,9.9,16.3,8,22,1013.7,2.1,11.1,11.7,6.4,1182.8
14/01/2019,7.5,3,69.5,21.5,10.9,14,35,1021,1.7,8.5,8,3.3,1203.9
15/01/2019,10.2,5,76,20.5,7.8,12,31,1019,2.9,8.8,6.1,2.8,1202.1
16/01/2019,8.2,6,84,16.1,11.1,9,26,1003.8,3.4,9,7.8,3.7,1188.1
17/01/2019,9.1,3,69.6,20.7,9.2,12,34,1012.9,1.6,4.5,9.2,4.4,1190.2
18/01/2019,12.7,,81,27.8,4.3,20,51,1017.1,3.3,2.9,5.2,3,1228.3
19/01/2019,10.6,2,80.4,17.7,8.8,19,52,1010,2.3,4.1,7.2,3.8,1217.9
20/01/2019,11.8,,78,24.2,2.5,27,76,1018.1,1.7,2.2,2.8,1.2,1245.5
21/01/2019,13.7,1,81,28,2.3,37,93,1023.2,4,4.1,4,1.7,1293
22/01/2019,10.9,1,84.5,27.1,8,12,34,1003,3.3,5,4.7,2.1,1195.6
23/01/2019,10,,86,23.1,10.1,15,53,1005,2.1,2,3.6,3,1212.9
24/01/2019,15.2,2,88.2,34.5,1.6,29,80,1011,5.5,3.6,1.9,1.2,1273.7
25/01/2019,10,6,88,26.3,2.1,20,57,1013.5,5,8.3,4.5,1.5,1242.2
26/01/2019,8.3,6,87,12.6,12.4,10,22,1003.7,4.1,8.3,8.5,2.9,1185.8
27/01/2019,8.2,2,74.3,8.5,18.3,11,25,992.7,2.6,6.1,14.9,7.1,1170.7
28/01/2019,10.6,,69,20,11.5,13,28,1006.8,1.2,3.2,9.5,4.3,1177.1
29/01/2019,12.7,1.5,77.9,27.2,5.7,16,41,998.3,2.9,3.3,4.5,1.9,1192.9
30/01/2019,11.8,,84.3,30.2,4.8,16,42,995.3,2.6,1.6,3.6,1.6,1193.8
31/01/2019,12.8,,85.4,28.4,5.3,25,63,991.9,4,1.3,9,3.4,1229.5
01/02/2019,9.1,1,92,16.4,11.5,13,47,987.6,1.1,1.7,9,3,1192.4
02/02/2019,9.5,0.5,78.7,12.4,15.2,14,48,1007,0.7,2.7,11.3,4.6,1204.6
03/02/2019,12.7,3,78.1,19.3,7.8,15,40,1023.6,2.6,4.4,4.4,2,1212.9
04/02/2019,8.7,7,86.6,17.7,12.2,11,29,1018.4,2.8,8,8.4,3.3,1213.1
05/02/2019,9.5,6,87,19.9,4.7,13,45,1023.4,3.1,7.7,7,2.8,1229.1
06/02/2019,9.2,8,87,20.9,8,13,35,1018.1,3.2,10,4.1,2.1,1218.6
07/02/2019,10.9,3,70,12,18.5,11,25,1006.7,3.1,8.7,12.8,4.8,1186.5
08/02/2019,9.1,7.5,81.5,8.8,22,10,24,998.7,2.6,10.5,13.1,6.2,1194
09/02/2019,10.6,2,65,8.8,21.5,13,29,1001,2.6,9.4,12.7,5,1180.6
10/02/2019,9.1,3,75.5,13.7,15.3,6,20,996.5,2,6.6,8,2.8,1158.5
11/02/2019,10,1.5,70,24.8,9.3,12,34,1025.3,1.6,7.2,4,1.6,1201.3
12/02/2019,11.6,5,81,25.2,6.1,17,46,1033,2.6,7.9,4.6,2,1242
13/02/2019,9.5,4.5,82.8,21.5,8,21,55,1033.1,2.6,7.9,4.5,2,1252.4
14/02/2019,11.8,3.5,80.5,30.1,3.3,31,76,1032.4,2.5,6.5,3.2,1.5,1282.3
15/02/2019,12.7,2.5,71,30.9,3.4,37,89,1027.8,3.3,8.1,3,1.3,1290
16/02/2019,9.1,8,86.5,22.8,7.4,30,70,1022.6,2.5,10.6,3.1,1.8,1274.4
17/02/2019,9.1,6,82,17.8,10.8,28,63,1015.7,2.5,10.8,6,2.1,1253.8
18/02/2019,8.9,7,86,19.1,14.2,17,40,1015.4,2.7,9,4.5,1.7,1225.5
19/02/2019,9.3,3.5,69,17.9,15.2,16,34,1019,2.4,8.6,5.4,2.1,1202.4
20/02/2019,9.2,5.5,71.1,15.8,15.5,17,42,1020,2.6,10,6.3,2.7,1217.7
21/02/2019,9.1,8,82.3,19.2,12.2,21,55,1026.5,2.7,10,4.6,1.6,1252.2
22/02/2019,10,7,91,26.8,3.4,30,72,1035,3.8,7.6,3,1.3,1290.9
23/02/2019,9.1,7,81.8,21.2,2.3,33,86,1034,3.5,8.6,3,1.7,1291.2
24/02/2019,11.8,4,79.2,28,1.8,39,99,1036,3.2,8,2.5,1.5,1314
25/02/2019,12.9,3,63,37.8,1.7,46,107,1036.5,4.5,8.8,3.3,1.5,1326
26/02/2019,13.4,5,60.8,42.4,1.7,52,112,1033.1,5.3,10,2.3,1.5,1339.5
27/02/2019,12.7,5,66.6,40.3,2,53,124,1025.5,5,11.1,1.6,1.2,1348
28/02/2019,8.9,8,81,23.6,8.7,23,53,1015.5,3.2,11.6,6.5,2.5,1245.5
01/03/2019,4.8,7.5,87,21.5,8.7,28,68,1018,1.3,9.4,4.5,1.8,1260.5
02/03/2019,3.6,8,71,10.8,16.9,16,34,1009.1,1.4,12,9.4,3.9,1196.1
03/03/2019,3.5,9,79,6.4,23.4,9,21,999.7,1.5,12.2,12.2,5.1,1182
04/03/2019,3.2,2.5,72.3,12,17.8,9,21,996,1.7,8.3,10,4,1157.8
05/03/2019,2.8,2,66,12.5,20.4,12,24,1003,1.4,10,7.5,3.1,1164.7
06/03/2019,6.4,7.5,76,9.1,20.9,14,31,989,1.5,12,11.5,5,1183.9
07/03/2019,10,3.5,72.5,8.3,21.1,9,18,990.5,2.9,8.8,12.1,5.2,1161.9
08/03/2019,9.6,4,71.4,12.3,10.9,11,25,1009.7,1.5,9,7.5,2.8,1174.7
09/03/2019,,3.5,62,8.7,25.3,19,38,1011.1,1.5,9.4,10,3.3,1191.8
10/03/2019,2.4,2,72.7,9.3,24.9,7,20,1010.2,1.3,7.5,14.2,5.7,1177.2
11/03/2019,10.6,-1,58.5,11.7,20.5,11,23,1023.4,1.5,8.3,12.5,4.5,1184.5
12/03/2019,7.9,6,78.5,9.8,23.6,8,18,1003.6,1.4,8,13.4,5.6,1183.8
13/03/2019,9.5,2,62,9.8,20.2,14,28,1008,1.4,8.8,14.4,5.3,1183.4
