Date,Country,City,Specie,count,min,max,median,variance
08/12/2019,GB,London,wind-gust,768,0.8,31.5,19,273.91
24/12/2019,GB,London,wind-gust,750,1.3,38.2,12.8,822.9
18/10/2019,GB,London,wind-gust,685,0.1,26.7,10.4,327.84
19/10/2019,GB,London,wind-gust,559,0.1,17.4,6.8,158.71
24/10/2019,GB,London,wind-gust,438,0.1,19.3,4.6,158.81
28/10/2019,GB,London,wind-gust,515,0.1,14.4,6,186.22
27/11/2019,GB,London,wind-gust,570,0.1,27.3,6.5,416.3
09/12/2019,GB,London,wind-gust,767,0.1,37.2,13.6,1096.41
12/12/2019,GB,London,wind-gust,757,0.2,39.7,11.1,857.77
13/12/2019,GB,London,wind-gust,714,0.6,38.6,16.8,917.09
04/10/2019,GB,London,wind-gust,660,0.1,35,9.5,341.12
06/10/2019,GB,London,wind-gust,612,0.3,39.6,10.8,1363.31
08/10/2019,GB,London,wind-gust,696,0.3,21.4,7.9,191.45
22/10/2019,GB,London,wind-gust,297,0.1,9,1.7,55.13
13/11/2019,GB,London,wind-gust,591,0.1,15,6.9,116.01
05/10/2019,GB,London,wind-gust,625,0.1,31.2,5,223.02
10/11/2019,GB,London,wind-gust,663,0.1,14.8,5,220.82
22/11/2019,GB,London,wind-gust,589,0.5,30,9.8,734.68
23/11/2019,GB,London,wind-gust,627,0.1,25.6,7.1,506.92
28/12/2019,GB,London,wind-gust,525,0.1,17,4.4,175.83
14/10/2019,GB,London,wind-gust,648,0.1,18.2,6.1,232.93
27/10/2019,GB,London,wind-gust,566,0.1,19.4,3.6,328.03
02/11/2019,GB,London,wind-gust,620,0.1,32.5,14.6,404.46
07/11/2019,GB,London,wind-gust,552,0.1,19.5,7.5,246.57
19/11/2019,GB,London,wind-gust,466,0.1,7.3,2.1,36.45
18/12/2019,GB,London,wind-gust,664,0.1,32.2,11.6,988.57
21/12/2019,GB,London,wind-gust,658,0.3,27.1,12.1,376.9
22/12/2019,GB,London,wind-gust,730,0.6,31.6,10,689.91
27/12/2019,GB,London,wind-gust,610,0.1,24.8,4.4,467.77
03/10/2019,GB,London,wind-gust,498,0.1,17.9,7,276.87
23/10/2019,GB,London,wind-gust,459,0.1,14,2.5,114.53
17/11/2019,GB,London,wind-gust,390,0.1,9.2,1.9,55.68
16/12/2019,GB,London,wind-gust,694,0.1,19.1,6.7,248.76
20/12/2019,GB,London,wind-gust,685,0.3,26.2,7.6,415.42
11/12/2019,GB,London,wind-gust,768,0.1,24.5,8.8,282.51
26/12/2019,GB,London,wind-gust,732,0.5,36.3,12.6,928.44
01/10/2019,GB,London,wind-gust,546,0.1,35,7.1,596.02
09/10/2019,GB,London,wind-gust,694,0.5,28.1,10,396.96
11/10/2019,GB,London,wind-gust,704,0.2,27.5,13.4,432.73
21/10/2019,GB,London,wind-gust,692,0.1,33.7,12.8,1006.72
21/11/2019,GB,London,wind-gust,604,0.2,22.9,8.8,450.87
29/11/2019,GB,London,wind-gust,507,0.1,11.2,3.3,100.76
06/12/2019,GB,London,wind-gust,768,4.8,26.3,14.8,207.36
17/12/2019,GB,London,wind-gust,658,0.1,12.4,5.6,126.06
12/10/2019,GB,London,wind-gust,603,0.1,13,2.6,64.29
15/10/2019,GB,London,wind-gust,706,0.1,15.3,5.6,108.75
