Sum of median,Specie,,,,,,,,,,,,,,
Date,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind gust,wind speed,wind-gust,wind-speed,Grand Total
30/12/2019,5.5,,,18.9,1.1,21,67,,1.5,,,,,,115
31/12/2019,5.5,,,17.7,1.5,25,70,,1.1,,,,,,120.8
01/01/2020,6.4,,,19.9,1.1,33,95,,1.6,,,,,,157
02/01/2020,3,8.5,86.9,10.8,12,12,30,1015.3,1.7,10.5,21.2,9.7,21.2,9.7,1252.5
03/01/2020,3.7,5.5,75,15.3,14.2,11,30,1022.5,1.7,8.7,10,5,10,5,1217.6
04/01/2020,4.6,4,76.5,18.2,7.9,12,30,1033.4,1.3,7.7,9.8,4.1,9.8,4.1,1223.4
05/01/2020,4.6,5,76.7,12.2,13.2,8,23,1032.7,1.3,8.3,11.2,4.7,11.2,4.7,1216.8
06/01/2020,4.6,4,78,12.3,13.7,13,30,1020.3,2.1,8.3,16.1,7.2,,,1209.6
07/01/2020,3.5,7,87.8,12.9,9.9,18,35,1021,2,11.4,12.1,5.2,,,1225.8
08/01/2020,4.6,9,82.7,17.6,7.4,24,50,1019.9,2.6,12.2,10,3.7,,,1243.7
09/01/2020,4.6,9,82.9,10.4,12.7,11,25,1006.8,3.3,12.2,16,8.1,,,1202
10/01/2020,4.8,2.5,72.7,17.6,12.6,11,33,1023.9,2.2,6.6,10.4,4.3,,,1201.6
11/01/2020,3.7,5.5,76,7.8,21,15,28,1022.8,1.4,10.5,19.2,9.1,,,1220
12/01/2020,4.6,5.5,72.9,7.5,18.7,9,21,1017.5,2.5,10.5,16,7.7,,,1193.4
13/01/2020,4.6,6,76,9.4,18.7,12,21,1011.9,3,10,16.4,7.3,,,1196.3
14/01/2020,4.6,9,85,7.4,20.8,10,25,996.8,3.1,12,18,9.5,,,1201.2
15/01/2020,4.9,5,81.3,16.2,15.8,11,28,1007,3.5,10,13,5.1,,,1200.8
16/01/2020,3.6,6,78.5,11.4,15.1,14,29,1014.7,2.7,11.1,14.8,6,,,1206.9
17/01/2020,2.8,5,82,15.4,15,11,25,1010.8,2.6,9.4,14.1,5.4,,,1198.5
18/01/2020,5.9,1,85.5,22.2,5.8,15,38,1027.6,1.9,3.1,8,3.2,,,1217.2
19/01/2020,6.4,0.5,86,23.9,5.2,17,46,1045.2,2.1,3,4.5,1.7,,,1241.5
20/01/2020,10.9,0.5,86.2,34.6,0.8,34,78,1047.9,5.8,3.4,2.5,1.4,,,1306
21/01/2020,10,2,89.5,35.3,0.7,36,86,1041.8,5,2.7,2.1,2,,,1313.1
22/01/2020,5.2,5,94,25.3,0.7,29,83,1037.1,1.8,6.6,2.5,1,,,1291.2
23/01/2020,3.7,6,89.8,22.9,3.9,19,59,1031.5,1.1,7.2,3.4,1,,,1248.5
24/01/2020,3.7,5,91,23.7,2.5,20,58,1022.7,2,6.6,4.1,1.3,,,1240.6
25/01/2020,3.7,4,87,15.8,6.8,28,70,1018.9,2.9,6.1,3.1,2,,,1248.3
26/01/2020,4.4,6.5,87,11.1,11.9,20,52,1010.7,3.3,9.4,8,3.2,,,1227.5
27/01/2020,3.7,6,81,17.6,15.2,11,21,1001.5,4.7,8.3,8,3,,,1181
28/01/2020,8.2,1,75,14.6,18.1,9,21,997,5.8,5,15.7,7.2,,,1177.6
29/01/2020,9.1,2,71.6,15.5,14.2,15,33,1010.5,4.5,7.2,15.4,6.4,,,1204.4
30/01/2020,7.2,9,85,14.1,12.8,11,25,1004,5.2,11.2,10.9,4,,,1199.4
31/01/2020,6.3,8.5,75,10.8,15.8,7,18,1006.6,5,11.6,16.6,6.4,,,1187.6
01/02/2020,6.5,4,75,8.9,19.5,15,31,1004.6,3.6,10.5,17.6,7.2,,,1203.4
02/02/2020,6.4,8,75,9.7,18.1,17,38,1008.9,3.2,11.1,15.2,6.1,,,1216.7
03/02/2020,5.5,5.5,74.8,13.3,17.9,17,35,1012.7,5,10,18,6.9,,,1221.6
04/02/2020,7.4,3,70.6,15.5,15.4,13,30,1019.7,2.2,8.8,18.2,7.2,,,1211
05/02/2020,8.5,2,67,29.8,2.1,28,59,1036,2.9,7.6,3.3,1.5,,,1247.7
06/02/2020,7.3,3,66.3,31.5,1.9,29,65,1030.4,2.8,7,2.2,1.8,,,1248.2
07/02/2020,6.4,2.5,69.2,22.6,3.2,30,69,1016.4,3.5,7.2,11.8,3.8,,,1245.6
08/02/2020,4.3,5,68.3,11.9,16.9,19,34,1014.1,2.1,10.1,14.2,5.4,,,1205.3
09/02/2020,2.8,5,65,3.8,26.2,12,25,1006.8,1.9,10,28.6,12.3,,,1199.4
10/02/2020,3,,,9.4,22.5,11,26,,3.6,,,,,,75.5
11/02/2020,4.6,,,10.4,22.6,14,28,,3.4,,,,,,83
12/02/2020,4.6,,,14.9,18.9,12,24,,3.4,,,,,,77.8
13/02/2020,3.7,,,14.8,18.6,10,25,,3.3,,,,,,75.4
14/02/2020,4.6,,,16.9,12.6,19,41,,3.3,,,,,,97.4
15/02/2020,2.2,,,5.2,20.7,8,20,,1.5,,,,,,57.6
16/02/2020,3.7,,,6,24.2,6,16,,1.6,,,,,,57.5
17/02/2020,3.7,,,9.8,23.1,14,30,,3.8,,,,,,84.4
18/02/2020,3.7,,,11.9,20.4,12,25,,6,,,,,,79
19/02/2020,3.7,,,15.6,15.9,14,30,,4.9,,,,,,84.1
20/02/2020,3.7,,,10.9,20.4,8,18,,2.8,,,,,,63.8
21/02/2020,3.7,,,9.7,22.3,18,31,,2.7,,,,,,87.4
22/02/2020,3.1,,,6.2,24.6,17,38,,1.9,,,,,,90.8
23/02/2020,3.7,,,7.1,19,7,20,,1.4,,,,,,58.2
24/02/2020,4.3,,,9.6,18.7,8,18,,1.9,,,,,,60.5
25/02/2020,5.5,1,70.4,11.8,20.3,9,17,996.4,2.9,7.2,19.6,7.6,,,1168.7
26/02/2020,6.4,0,71.2,16.7,16.1,11,21,1004.5,2.6,5.2,15.7,6,,,1176.4
27/02/2020,5.3,0,75.7,18.4,15.3,10,25,1008,2.2,4.1,9.1,3.4,,,1176.5
28/02/2020,5.3,5.5,89,15.8,12.9,12,25,1008,2.1,6.1,16.1,6.3,,,1204.1
29/02/2020,6.4,1.5,81.1,7.2,22.5,13,29,986.8,1.9,6.9,25.8,11,,,1193.1
01/03/2020,7.4,1,73.5,7.5,22.9,11,23,988.4,1.7,6.1,20.2,8.5,,,1171.2
02/03/2020,4.6,4,86,15.8,17.5,8,21,988,1.8,5.3,9.7,3.1,,,1164.8
03/03/2020,9.1,,,27.8,5.9,18,41,,3,,,,,,104.8
04/03/2020,6.4,5,88.4,22.8,7.3,15,38,1004,3,6.1,9.7,3,,,1208.7
05/03/2020,3.7,4,90.7,11.7,16.5,12,38,994.6,1.4,5.5,13.7,4.9,,,1196.7
06/03/2020,5.5,0,76.3,20.3,15.8,16,39,1005.5,3.7,5.2,7,3,,,1197.3
07/03/2020,6.4,6.5,78,15.6,12.8,22,48,1015.1,3.1,10.3,12.7,5.6,,,1236.1
08/03/2020,3.7,5.5,78.5,7.1,24.1,11,25,1005.7,3,10.4,14.6,8.1,,,1196.7
09/03/2020,5.4,3.5,82.3,11.7,17.9,12,25,1011.1,2.1,8.7,14,6.4,,,1200.1
10/03/2020,3.7,10.5,84.8,8.2,16.8,6,15,1004,1.7,13,19.2,9,,,1191.9
11/03/2020,4.3,7,78.3,9.4,22.3,9,18,1009,2.5,11,14.6,8.2,,,1193.6
12/03/2020,4.6,1,61.9,9,23.1,14,26,1010.4,3.3,8.5,19,10.2,,,1191
13/03/2020,5.5,2.5,60,13.9,18.7,16,31,1018.3,2.3,9,10,4.6,,,1191.8
14/03/2020,4,7,83,9.3,21.9,12,25,1013,2.3,10,11.5,6.1,,,1205.1
15/03/2020,4.3,7,82.3,7.8,24,9,22,1008,1.8,9.7,13.6,6.1,,,1195.6
16/03/2020,4.6,2,71.4,19.2,12.8,14,35,1022,2.9,8,7.1,3.6,,,1202.6
17/03/2020,3.7,5,79.5,11.5,19.1,15,30,1027,2.9,10,11,5.4,,,1220.1
18/03/2020,2.9,8.5,81,10.6,19.9,14,32,1024.1,3.2,11.7,12.2,7.5,,,1227.6
19/03/2020,2.8,6,92.4,11.7,15.9,15,42,1026,3.3,7.2,9.8,4.6,,,1236.7
20/03/2020,3.7,2,76.5,7.2,23.1,12,25,1028.1,2.8,6.9,18,10,,,1215.3
21/03/2020,3.8,1,72,7.1,21.2,15,29,1025.7,2.2,6.5,17.5,9,,,1210
22/03/2020,5.5,1,70,8.1,18.9,16,40,1026.1,1.5,6.6,16,8.2,,,1217.9
23/03/2020,7.3,0,59.2,15.5,14.2,20,48,1026.3,3,6.6,10.9,6.2,,,1217.2
24/03/2020,6.4,-1.5,52.7,15.5,18.6,19,51,1025.3,2.2,8,8,4,,,1209.2
25/03/2020,7.7,-1.5,56,20.3,18.3,27,65,1024,3,6.7,7.7,4.1,,,1238.3
26/03/2020,6.4,-1,61.8,13.3,23.2,32,79,1022.9,3,6.4,10.3,5.9,,,1263.2
27/03/2020,5.5,-0.5,63.3,8.4,31.6,34,78,1023.4,2.2,7.6,15.7,6.2,,,1275.4
28/03/2020,4.6,1,68.6,4.5,33.1,22,46,1028.5,1.2,6.3,19.7,9.5,,,1245
29/03/2020,6.4,-3,60.4,3.2,30.3,13,24,1037.1,0.8,5,22,11.7,,,1210.9
30/03/2020,4.9,0.5,74.5,6.6,24.8,11,23,1035.4,0.9,4,12.1,6.2,12.1,6.2,1222.2
31/03/2020,5.5,1,68.5,8.5,25.4,14,30,1031,1,6,12,6.1,12,6.1,1227.1
01/04/2020,5.7,-1,64.3,14.3,19.7,14,36,1023.5,1.2,7.2,,,5.6,2.8,1193.3
02/04/2020,5.3,3,68.2,9.9,20.5,10,25,1015.2,1.4,10.3,,,9.8,5.1,1183.7
03/04/2020,5.5,1.5,63.7,13.7,20.2,14,31,1017.3,1.8,9.5,,,7,3.5,1188.7
04/04/2020,5,3,68,11.5,21.8,15,46,1019.7,1.3,10.3,,,8.6,4.3,1214.5
05/04/2020,4.8,2.5,46.8,7.1,27.8,15,40,1013.8,1.4,16.3,,,12.6,7.2,1195.3
Grand Total,499.2,293.5,5995.9,1347.2,1587.5,1517,3566,80331.1,256.6,648.5,948,427.4,119.9,58.7,97596.5
